COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
2301406;CE;Aratuba;11759;>10k;
1100924;RO;Chupinguaia;11755;>10k;
2201150;PI;Baixa Grande do Ribeiro;11751;>10k;
3166808;MG;Serra do Salitre;11750;>10k;
3204302;ES;Presidente Kennedy;11741;>10k;
2929404;BA;São Miguel das Matas;11733;>10k;
5108501;MT;Vera;11731;>10k;
2400802;RN;Angicos;11695;>10k;
2204303;PI;Fronteiras;11690;>10k;
4118105;PR;Paranacity;11685;>10k;
2706000;AL;Olivença;11681;>10k;
3168507;MG;Teixeiras;11680;>10k;
4213401;SC;Ponte Serrada;11674;>10k;
2926905;BA;Rio do Pires;11672;>10k;
2901700;BA;Antônio Cardoso;11670;>10k;
4206207;SC;Gravatal;11652;>10k;
3111309;MG;Campo do Meio;11648;>10k;
4215109;SC;Rodeio;11647;>10k;
1703800;TO;Buriti do Tocantins;11644;>10k;
5203203;GO;Barro Alto;11643;>10k;
3131802;MG;Itabirinha;11637;>10k;
2607950;PE;Jaqueira;11632;>10k;
3204401;ES;Rio Novo do Sul;11630;>10k;
3109709;MG;Cachoeira de Minas;11609;>10k;
2610301;PE;Paranatama;11608;>10k;
2802403;SE;Gararu;11599;>10k;
4100806;PR;Alvorada do Sul;11598;>10k;
2305654;CE;Ipaporanga;11597;>10k;
2906857;BA;Capela do Alto Alegre;11597;>10k;
4110953;PR;Itaipulândia;11588;>10k;
5100508;MT;Alto Paraguai;11587;>10k;
2919306;BA;Lençóis;11586;>10k;
2930006;BA;Sebastião Laranjeiras;11586;>10k;
2306801;CE;Jaguaribara;11580;>10k;
3154200;MG;Resende Costa;11578;>10k;
3532603;SP;Nhandeara;11575;>10k;
4312708;RS;Nonoai;11574;>10k;
2706109;AL;Ouro Branco;11573;>10k;
2205003;PI;Itainópolis;11571;>10k;
3160306;MG;Santo Antônio do Jacinto;11570;>10k;
3301603;RJ;Duas Barras;11563;>10k;
4315800;RS;Roca Sales;11556;>10k;
3520426;SP;Ilha Comprida;11552;>10k;
5003488;MS;Dois Irmãos do Buriti;11547;>10k;
3114006;MG;Carmo da Mata;11546;>10k;
1101757;RO;Vale do Anari;11545;>10k;
2608255;PE;Jucati;11545;>10k;
4202073;SC;Balneário Gaivota;11537;>10k;
2105963;MA;Lagoa Grande do Maranhão;11534;>10k;
3539004;SP;Pirangi;11524;>10k;
4123907;PR;Santa Mariana;11523;>10k;
2902203;BA;Aramari;11519;>10k;
3532900;SP;Nova Europa;11519;>10k;
3537206;SP;Pedro de Toledo;11507;>10k;
3557303;SP;Estiva Gerbi;11507;>10k;
3108255;MG;Bonito de Minas;11502;>10k;
1722107;TO;Xambioá;11500;>10k;
2703759;AL;Jequiá da Praia;11495;>10k;
1600204;AP;Calçoene;11493;>10k;
3517000;SP;Getulina;11485;>10k;
2922250;BA;Muquém do São Francisco;11479;>10k;
2202406;PI;Capitão de Campos;11471;>10k;
3102902;MG;Antônio Carlos;11471;>10k;
4117057;PR;Nova Laranjeiras;11462;>10k;
2203206;PI;Curimatá;11461;>10k;
4216008;SC;São Carlos;11456;>10k;
2105203;MA;Igarapé Grande;11453;>10k;
2103901;MA;Duque Bacelar;11451;>10k;
3124500;MG;Estiva;11416;>10k;
3152303;MG;Porto Firme;11414;>10k;
5100607;MT;Alto Taquari;11413;>10k;
2406700;RN;Lajes;11410;>10k;
2307908;CE;Martinópole;11407;>10k;
4118907;PR;Pérola;11406;>10k;
3122454;MG;Divisópolis;11396;>10k;
3124906;MG;Eugenópolis;11383;>10k;
3517901;SP;Guaraci;11382;>10k;
2901502;BA;Anguera;11369;>10k;
5002001;MS;Batayporã;11368;>10k;
2402105;RN;Campo Redondo;11363;>10k;
2201101;PI;Avelino Lopes;11361;>10k;
2804102;SE;Moita Bonita;11361;>10k;
3140852;MG;Matias Cardoso;11360;>10k;
3133709;MG;Itatiaiuçu;11354;>10k;
4207908;SC;Irineópolis;11354;>10k;
2101772;MA;Bela Vista do Maranhão;11347;>10k;
4313656;RS;Palmares do Sul;11342;>10k;
2109304;MA;Presidente Vargas;11328;>10k;
4321436;RS;Terra de Areia;11323;>10k;
2919603;BA;Macajuba;11318;>10k;
4218905;SC;Urubici;11311;>10k;
2611200;PE;Poção;11308;>10k;
1507805;PA;Senador José Porfírio;11305;>10k;
2601003;PE;Angelim;11301;>10k;
5106299;MT;Paranaíta;11291;>10k;
4102505;PR;Barbosa Ferraz;11287;>10k;
2111748;MA;Senador Alexandre Costa;11285;>10k;
2911303;BA;Gentio do Ouro;11284;>10k;
1707405;TO;Esperantina;11280;>10k;
2105922;MA;Lagoa do Mato;11280;>10k;
2806800;SE;São Domingos;11276;>10k;
4202057;SC;Balneário Barra do Sul;11271;>10k;
4302303;RS;Bom Jesus;11270;>10k;
2614303;PE;Moreilândia;11269;>10k;
3123700;MG;Engenheiro Caldas;11268;>10k;
2102408;MA;Cajapió;11255;>10k;
2100501;MA;Alto Parnaíba;11233;>10k;
4128401;PR;Uraí;11233;>10k;
5205802;GO;Corumbá de Goiás;11223;>10k;
2907707;BA;Chorrochó;11221;>10k;
2304905;CE;Groaíras;11219;>10k;
5208400;GO;Goianápolis;11217;>10k;
2612109;PE;Salgadinho;11214;>10k;
3306156;RJ;Varre-Sai;11208;>10k;
2111052;MA;São João do Paraíso;11207;>10k;
2707602;AL;Quebrangulo;11202;>10k;
3503604;SP;Areiópolis;11186;>10k;
2402709;RN;Cerro Corá;11182;>10k;
2506103;PB;Fagundes;11180;>10k;
4321667;RS;Três Cachoeiras;11174;>10k;
3506300;SP;Bernardino de Campos;11168;>10k;
4302006;RS;Barros Cassal;11167;>10k;
2407708;RN;Montanhas;11166;>10k;
2311207;CE;Potengi;11165;>10k;
4200200;SC;Agrolândia;11160;>10k;
2806107;SE;Rosário do Catete;11158;>10k;
4204707;SC;Cunha Porã;11150;>10k;
3130200;MG;Igaratinga;11146;>10k;
4120507;PR;Primeiro de Maio;11138;>10k;
5105200;MT;Juscimeira;11124;>10k;
4110201;PR;Inácio Martins;11117;>10k;
3161908;MG;São Gonçalo do Rio Abaixo;11114;>10k;
4125803;PR;São Pedro do Ivaí;11109;>10k;
2400109;RN;Acari;11106;>10k;
4204004;SC;Catanduvas;11106;>10k;
3125952;MG;Fervedouro;11100;>10k;
2609204;PE;Maraial;11098;>10k;
3149101;MG;Pedralva;11098;>10k;
4124707;PR;São Jerônimo da Serra;11088;>10k;
3129301;MG;Iapu;11085;>10k;
1101708;RO;Urupá;11081;>10k;
5000856;MS;Angélica;11081;>10k;
2902401;BA;Aurelino Leal;11079;>10k;
2507200;PB;Itatuba;11069;>10k;
4112504;PR;Jardim Alegre;11067;>10k;
2702504;AL;Dois Riachos;11059;>10k;
2309102;CE;Mulungu;11056;>10k;
2310951;CE;Pires Ferreira;11052;>10k;
2412906;RN;São Tomé;11051;>10k;
3504909;SP;Bananal;11039;>10k;
2917334;BA;Iuiu;11038;>10k;
2205102;PI;Itaueira;11037;>10k;
3513900;SP;Divinolândia;11027;>10k;
2400307;RN;Afonso Bezerra;11024;>10k;
2516409;PB;Tacima;11024;>10k;
1400704;RR;Uiramutã;11014;>10k;
2202505;PI;Caracol;11009;>10k;
3121258;MG;Delta;10994;>10k;
4115754;PR;Mauá da Serra;10994;>10k;
3104106;MG;Arceburgo;10990;>10k;
2509008;PB;Manaíra;10988;>10k;
5216403;GO;Paraúna;10988;>10k;
2301257;CE;Ararendá;10983;>10k;
2603306;PE;Calçado;10983;>10k;
3109105;MG;Bueno Brandão;10982;>10k;
2206100;PI;Matias Olímpio;10979;>10k;
3165008;MG;São Tiago;10979;>10k;
2402501;RN;Carnaubais;10972;>10k;
2408953;RN;Rio do Fogo;10961;>10k;
5218607;GO;Rialma;10961;>10k;
4201257;SC;Apiúna;10951;>10k;
2102754;MA;Capinzal do Norte;10937;>10k;
3536000;SP;Parapuã;10934;>10k;
2104503;MA;Governador Archer;10931;>10k;
3153608;MG;Prudente de Morais;10931;>10k;
2414100;RN;Tenente Ananias;10923;>10k;
2701209;AL;Cacimbinhas;10920;>10k;
2515401;PB;São Vicente do Seridó;10919;>10k;
3203163;ES;Laranja da Terra;10919;>10k;
3548609;SP;São Bento do Sapucaí;10907;>10k;
2902252;BA;Arataca;10904;>10k;
2105807;MA;Lago do Junco;10900;>10k;
1506104;PA;Primavera;10889;>10k;
3544301;SP;Roseira;10888;>10k;
3136504;MG;Jordânia;10872;>10k;
3158003;MG;Santa Maria de Itabira;10867;>10k;
3516903;SP;General Salgado;10855;>10k;
2207603;PI;Parnaguá;10846;>10k;
3556354;SP;Vargem;10842;>10k;
2921302;BA;Milagres;10838;>10k;
2507903;PB;Juripiranga;10830;>10k;
3543709;SP;Rincão;10824;>10k;
1101104;RO;Itapuã do Oeste;10819;>10k;
3142106;MG;Miradouro;10818;>10k;
3556602;SP;Vera Cruz;10804;>10k;
3200169;ES;Água Doce do Norte;10801;>10k;
3145356;MG;Novo Oriente de Minas;10800;>10k;
5205471;GO;Chapadão do Céu;10797;>10k;
3136900;MG;Juruaia;10795;>10k;
3151107;MG;Pirapetinga;10791;>10k;
3141603;MG;Mercês;10775;>10k;
5007703;MS;Sete Quedas;10751;>10k;
2917904;BA;Jandaíra;10742;>10k;
3151305;MG;Piraúba;10732;>10k;
3102100;MG;Alto Rio Doce;10723;>10k;
3534757;SP;Ouroeste;10712;>10k;
2103109;MA;Cedral;10711;>10k;
4116059;PR;Missal;10706;>10k;
2904506;BA;Brotas de Macaúbas;10705;>10k;
4105102;PR;Centenário do Sul;10704;>10k;
2204402;PI;Gilbués;10698;>10k;
3550001;SP;São Luiz do Paraitinga;10693;>10k;
1101302;RO;Mirante da Serra;10691;>10k;
4311106;RS;Jaguari;10684;>10k;
5201801;GO;Aragoiânia;10680;>10k;
4320206;RS;Seberi;10678;>10k;
2904407;BA;Brejolândia;10675;>10k;
2202059;PI;Cabeceiras do Piauí;10671;>10k;
1703008;TO;Babaçulândia;10668;>10k;
3305901;RJ;Trajano de Moraes;10653;>10k;
3509304;SP;Cajobi;10649;>10k;
2410306;RN;Serra Caiada;10646;>10k;
2708105;AL;Santana do Mundaú;10637;>10k;
4316105;RS;Ronda Alta;10633;>10k;
2111904;MA;Sucupira do Norte;10631;>10k;
4205308;SC;Faxinal dos Guedes;10630;>10k;
4121802;PR;Ribeirão Claro;10622;>10k;
2206605;PI;Monte Alegre do Piauí;10618;>10k;
2510105;PB;Nova Floresta;10614;>10k;
1400233;RR;Caroebe;10595;>10k;
2702009;AL;Coité do Nóia;10594;>10k;
2511806;PB;Pirpirituba;10590;>10k;
2927903;BA;Santa Inês;10583;>10k;
4207809;SC;Irani;10575;>10k;
1200138;AC;Bujari;10572;>10k;
4321006;RS;Tapera;10569;>10k;
2206407;PI;Monsenhor Gil;10563;>10k;
2104081;MA;Fernando Falcão;10559;>10k;
2706422;AL;Pariconha;10546;>10k;
2929370;BA;São José do Jacuípe;10546;>10k;
2404408;RN;Grossos;10541;>10k;
4117255;PR;Nova Prata do Iguaçu;10540;>10k;
3204807;ES;São José do Calçado;10536;>10k;
3107901;MG;Bom Repouso;10527;>10k;
2911006;BA;Floresta Azul;10525;>10k;
3154804;MG;Rio Acima;10524;>10k;
3154101;MG;Recreio;10522;>10k;
2928505;BA;Santa Terezinha;10520;>10k;
2900504;BA;Érico Cardoso;10513;>10k;
1703842;TO;Campos Lindos;10505;>10k;
1702406;TO;Arraias;10502;>10k;
1506401;PA;Santa Cruz do Arari;10496;>10k;
2204501;PI;Guadalupe;10496;>10k;
3551108;SP;Sarapuí;10493;>10k;
2414506;RN;Umarizal;10485;>10k;
4301057;RS;Arroio do Sal;10483;>10k;
2201606;PI;Beneditinos;10479;>10k;
3166204;MG;Senhora dos Remédios;10474;>10k;
2918308;BA;Jitaúna;10470;>10k;
2922052;BA;Mulungu do Morro;10469;>10k;
2105450;MA;Jatobá;10464;>10k;
2203107;PI;Cristino Castro;10464;>10k;
2403509;RN;Espírito Santo;10463;>10k;
3171808;MG;Virginópolis;10459;>10k;
5107180;MT;Ribeirão Cascalheira;10450;>10k;
2509909;PB;Natuba;10449;>10k;
2412559;RN;São Miguel do Gostoso;10441;>10k;
3202900;ES;Itarana;10433;>10k;
5100805;MT;Apiacás;10431;>10k;
1716208;TO;Paranã;10426;>10k;
2701100;AL;Branquinha;10426;>10k;
4301404;RS;Arvorezinha;10422;>10k;
2303659;CE;Catunda;10410;>10k;
3304607;RJ;Santa Maria Madalena;10380;>10k;
2500106;PB;Água Branca;10375;>10k;
2505709;PB;Dona Inês;10375;>10k;
2405306;RN;Januário Cicco;10367;>10k;
2503308;PB;Cachoeira dos Índios;10364;>10k;
4108007;PR;Florestópolis;10360;>10k;
2920809;BA;Marcionílio Souza;10357;>10k;
3144656;MG;Ninheira;10355;>10k;
2805901;SE;Riachuelo;10354;>10k;
2924652;BA;Pintadas;10353;>10k;
3117108;MG;Conceição da Aparecida;10351;>10k;
1101609;RO;Theobroma;10348;>10k;
2910008;BA;Dário Meira;10347;>10k;
4102604;PR;Barracão;10347;>10k;
2111789;MA;Serrano do Maranhão;10343;>10k;
3115805;MG;Centralina;10343;>10k;
3109204;MG;Buenópolis;10342;>10k;
5202502;GO;Aruanã;10340;>10k;
4208708;SC;Jacinto Machado;10337;>10k;
3170503;MG;Urucânia;10333;>10k;
4115101;PR;Mariluz;10327;>10k;
2401701;RN;Bom Jesus;10323;>10k;
2615201;PE;Terra Nova;10314;>10k;
3126505;MG;Francisco Badaró;10311;>10k;
3128204;MG;Guaraciaba;10307;>10k;
5205000;GO;Carmo do Rio Verde;10299;>10k;
2920007;BA;Maiquinique;10294;>10k;
3123007;MG;Dores de Campos;10291;>10k;
2916609;BA;Itapitanga;10284;>10k;
3106002;MG;Bela Vista de Minas;10269;>10k;
3156601;MG;Rubim;10269;>10k;
2924702;BA;Piripá;10253;>10k;
5216809;GO;Petrolina de Goiás;10240;>10k;
4212650;SC;Pescaria Brava;10225;>10k;
5216304;GO;Paranaiguara;10221;>10k;
3120508;MG;Cristina;10211;>10k;
3540507;SP;Porangaba;10205;>10k;
5215009;GO;Nova Veneza;10193;>10k;
3555604;SP;Uchoa;10191;>10k;
4308300;RS;Fontoura Xavier;10181;>10k;
2407005;RN;Luís Gomes;10175;>10k;
3514601;SP;Dumont;10174;>10k;
2916302;BA;Itapebi;10173;>10k;
5217203;GO;Piranhas;10161;>10k;
3131505;MG;Ipuiúna;10156;>10k;
4202602;SC;Bom Retiro;10153;>10k;
4320677;RS;Sinimbu;10152;>10k;
4105003;PR;Catanduvas;10144;>10k;
4315107;RS;Porto Xavier;10144;>10k;
4200705;SC;Alfredo Wagner;10136;>10k;
4116703;PR;Nova Aurora;10131;>10k;
3132909;MG;Itamogi;10122;>10k;
4124806;PR;São João;10122;>10k;
2104651;MA;Governador Newton Bello;10121;>10k;
5203559;GO;Bonfinópolis;10120;>10k;
5105580;MT;Marcelândia;10107;>10k;
3114550;MG;Carneirinho;10103;>10k;
3554706;SP;Torrinha;10100;>10k;
5102793;MT;Carlinda;10094;>10k;
4312906;RS;Nova Bassano;10089;>10k;
2210656;PI;Sigefredo Pacheco;10074;>10k;
4124020;PR;Santa Tereza do Oeste;10055;>10k;
2904209;BA;Botuporã;10050;>10k;
2924678;BA;Piraí do Norte;10050;>10k;
3542503;SP;Reginópolis;10047;>10k;
4110805;PR;Iretama;10029;>10k;
5205901;GO;Corumbaíba;10012;>10k;
2200707;PI;Anísio de Abreu;9994;<10k;
3201100;ES;Bom Jesus do Norte;9988;<10k;
3133600;MG;Itapeva;9976;<10k;
3528601;SP;Manduri;9972;<10k;
4206405;SC;Guaraciaba;9964;<10k;
2509800;PB;Mulungu;9962;<10k;
3532827;SP;Nova Campina;9962;<10k;
4314704;RS;Planalto;9957;<10k;
2914109;BA;Ipupiara;9954;<10k;
4211058;SC;Monte Carlo;9945;<10k;
3543808;SP;Rinópolis;9940;<10k;
5004007;MS;Glória de Dourados;9934;<10k;
4317707;RS;Santo Antônio das Missões;9930;<10k;
2517001;PB;Umbuzeiro;9914;<10k;
4305801;RS;Constantina;9903;<10k;
4204400;SC;Coronel Freitas;9900;<10k;
3119203;MG;Coroaci;9897;<10k;
4125001;PR;São João do Ivaí;9897;<10k;
3112505;MG;Capim Branco;9896;<10k;
3164506;MG;São Sebastião do Maranhão;9884;<10k;
4217303;SC;Saudades;9874;<10k;
2204808;PI;Ipiranga do Piauí;9863;<10k;
3503703;SP;Ariranha;9851;<10k;
2800407;SE;Arauá;9840;<10k;
2508000;PB;Juru;9831;<10k;
2410405;RN;Pureza;9825;<10k;
1702901;TO;Axixá do Tocantins;9817;<10k;
3126208;MG;Formoso;9810;<10k;
3519253;SP;Iaras;9786;<10k;
4214201;SC;Quilombo;9773;<10k;
2403806;RN;Florânia;9772;<10k;
2903953;BA;Bom Jesus da Serra;9768;<10k;
3138658;MG;Lontra;9766;<10k;
4207205;SC;Imaruí;9764;<10k;
5004106;MS;Guia Lopes da Laguna;9754;<10k;
5205307;GO;Cavalcante;9740;<10k;
2805109;SE;Pedrinhas;9727;<10k;
4100707;PR;Alto Piquiri;9722;<10k;
3126901;MG;Frei Inocêncio;9716;<10k;
4304358;RS;Candiota;9707;<10k;
1200344;AC;Manoel Urbano;9701;<10k;
2304269;CE;Deputado Irapuan Pinheiro;9698;<10k;
2906105;BA;Canápolis;9694;<10k;
2401305;RN;Campo Grande;9686;<10k;
3137536;MG;Lagoa Grande;9681;<10k;
4122602;PR;Rondon;9664;<10k;
3519006;SP;Herculândia;9649;<10k;
3520202;SP;Igaratá;9631;<10k;
5103452;MT;Denise;9626;<10k;
3200136;ES;Águia Branca;9621;<10k;
2612000;PE;Sairé;9600;<10k;
3148301;MG;Paula Cândido;9597;<10k;
2701506;AL;Campo Grande;9576;<10k;
3125903;MG;Ferros;9576;<10k;
2203453;PI;Dom Inocêncio;9574;<10k;
4112405;PR;Japurá;9573;<10k;
2616100;PE;Verdejante;9572;<10k;
2701803;AL;Carneiros;9568;<10k;
4100301;PR;Agudos do Sul;9567;<10k;
2923902;BA;Pau Brasil;9550;<10k;
2927101;BA;Rodelas;9548;<10k;
5106265;MT;Novo Mundo;9545;<10k;
3171030;MG;Verdelândia;9527;<10k;
2102374;MA;Cachoeira Grande;9524;<10k;
3103900;MG;Araújos;9523;<10k;
5203906;GO;Buriti Alegre;9515;<10k;
2705804;AL;Olho d'Água do Casado;9507;<10k;
3554409;SP;Terra Roxa;9502;<10k;
2604908;PE;Cumaru;9494;<10k;
2204659;PI;Ilha Grande;9487;<10k;
2516805;PB;Triunfo;9473;<10k;
3154507;MG;Riacho dos Machados;9471;<10k;
3102704;MG;Cachoeira de Pajeú;9470;<10k;
1101203;RO;Ministro Andreazza;9461;<10k;
2310001;CE;Palhano;9458;<10k;
3511300;SP;Cedral;9452;<10k;
4122503;PR;Roncador;9447;<10k;
2805307;SE;Pirambu;9436;<10k;
1701002;TO;Ananás;9435;<10k;
2930766;BA;Sítio do Quinto;9431;<10k;
2204204;PI;Francisco Santos;9423;<10k;
3113503;MG;Carbonita;9423;<10k;
4216107;SC;São Domingos;9422;<10k;
3305307;RJ;São Sebastião do Alto;9416;<10k;
2924900;BA;Planaltino;9415;<10k;
3304508;RJ;Rio das Flores;9401;<10k;
5101308;MT;Arenápolis;9399;<10k;
3545407;SP;Salto Grande;9396;<10k;
2907004;BA;Cardeal da Silva;9395;<10k;
5108956;MT;Nova Monte Verde;9375;<10k;
5214408;GO;Nazário;9375;<10k;
2401404;RN;Baía Formosa;9373;<10k;
5004809;MS;Japorã;9372;<10k;
5107941;MT;Tabaporã;9357;<10k;
2933406;BA;Wagner;9342;<10k;
2405009;RN;Jaçanã;9341;<10k;
3112901;MG;Caputira;9318;<10k;
1302009;AM;Itapiranga;9312;<10k;
2907558;BA;Caturama;9303;<10k;
1304005;AM;Silves;9289;<10k;
5108055;MT;Terra Nova do Norte;9284;<10k;
3205150;ES;Vila Pavão;9280;<10k;
3515350;SP;Euclides da Cunha Paulista;9280;<10k;
5212709;GO;Mambaí;9277;<10k;
3100500;MG;Açucena;9270;<10k;
4127882;PR;Tunas do Paraná;9269;<10k;
4212254;SC;Passo de Torres;9269;<10k;
1600105;AP;Amapá;9265;<10k;
2206696;PI;Murici dos Portelas;9258;<10k;
1714203;TO;Natividade;9256;<10k;
2933109;BA;Várzea do Poço;9247;<10k;
5212808;GO;Mara Rosa;9234;<10k;
3103009;MG;Antônio Dias;9233;<10k;
4305306;RS;Chapada;9211;<10k;
4123857;PR;Santa Maria do Oeste;9210;<10k;
3119500;MG;Coronel Murta;9209;<10k;
3504800;SP;Bálsamo;9209;<10k;
2310605;CE;Penaforte;9207;<10k;
2501401;PB;Baía da Traição;9197;<10k;
3535200;SP;Palmeira d'Oeste;9173;<10k;
3556909;SP;Vista Alegre do Alto;9163;<10k;
5200050;GO;Abadia de Goiás;9158;<10k;
3152709;MG;Prados;9128;<10k;
2922854;BA;Nova Redenção;9126;<10k;
3542107;SP;Rafard;9126;<10k;
3555802;SP;Urânia;9125;<10k;
2923506;BA;Palmeiras;9123;<10k;
5000807;MS;Anaurilândia;9116;<10k;
5219407;GO;Santa Rita do Araguaia;9110;<10k;
3118700;MG;Coqueiral;9099;<10k;
4207650;SC;Iporã do Oeste;9093;<10k;
3514007;SP;Dobrada;9088;<10k;
2928950;BA;São Domingos;9085;<10k;
5000906;MS;Antônio João;9082;<10k;
4304903;RS;Casca;9070;<10k;
2107001;MA;Montes Altos;9064;<10k;
5108907;MT;Nova Maringá;9056;<10k;
2807204;SE;Siriri;9046;<10k;
2208650;PI;Queimada Nova;9041;<10k;
4125209;PR;São Jorge d'Oeste;9005;<10k;
5222054;GO;Vicentinópolis;9002;<10k;
4313953;RS;Pantano Grande;8995;<10k;
3549508;SP;São José da Bela Vista;8991;<10k;
4107256;PR;Douradina;8988;<10k;
2928307;BA;Santanópolis;8987;<10k;
2602407;PE;Brejão;8981;<10k;
3536604;SP;Paulo de Faria;8973;<10k;
5211404;GO;Itauçu;8968;<10k;
1720804;TO;Sítio Novo do Tocantins;8965;<10k;
3155405;MG;Rio Novo;8964;<10k;
3143500;MG;Morada Nova de Minas;8955;<10k;
2925931;BA;Quixabeira;8939;<10k;
3128402;MG;Guarani;8926;<10k;
3532504;SP;Neves Paulista;8917;<10k;
2905107;BA;Caém;8912;<10k;
5203401;GO;Bom Jardim de Goiás;8912;<10k;
3118908;MG;Cordisburgo;8903;<10k;
3159209;MG;Santa Rita de Caldas;8900;<10k;
4106001;PR;Congonhinhas;8896;<10k;
3511904;SP;Clementina;8894;<10k;
1707702;TO;Filadélfia;8892;<10k;
3546900;SP;Santa Lúcia;8889;<10k;
3514304;SP;Dourado;8883;<10k;
4108957;PR;Guamiranga;8881;<10k;
3537503;SP;Pereiras;8875;<10k;
4126009;PR;São Sebastião da Amoreira;8865;<10k;
2918456;BA;Jucuruçu;8856;<10k;
2704609;AL;Maravilha;8850;<10k;
2912004;BA;Ibiassucê;8849;<10k;
2902302;BA;Aratuípe;8848;<10k;
4201505;SC;Armazém;8843;<10k;
2102150;MA;Brejo de Areia;8841;<10k;
2105948;MA;Lago dos Rodrigues;8841;<10k;
2308807;CE;Moraújo;8833;<10k;
3150158;MG;Piedade de Caratinga;8832;<10k;
3202553;ES;Ibitirama;8830;<10k;
2804458;SE;Nossa Senhora Aparecida;8822;<10k;
2208700;PI;Redenção do Gurguéia;8814;<10k;
3116803;MG;Coluna;8810;<10k;
2103125;MA;Central do Maranhão;8806;<10k;
3513207;SP;Cristais Paulista;8803;<10k;
5205455;GO;Cezarina;8794;<10k;
4114906;PR;Marilândia do Sul;8793;<10k;
2407401;RN;Martins;8790;<10k;
5102850;MT;Castanheira;8782;<10k;
3142601;MG;Monsenhor Paulo;8764;<10k;
4215679;SC;Santa Terezinha;8760;<10k;
5213509;GO;Monte Alegre de Goiás;8759;<10k;
2206803;PI;Nossa Senhora dos Remédios;8751;<10k;
5200803;GO;Alvorada do Norte;8749;<10k;
2509057;PB;Marcação;8746;<10k;
4319802;RS;São Vicente do Sul;8742;<10k;
2912806;BA;Ibirapuã;8740;<10k;
5220504;GO;Serranópolis;8737;<10k;
3204658;ES;São Domingos do Norte;8735;<10k;
2933174;BA;Varzedo;8734;<10k;
2921906;BA;Mucugê;8725;<10k;
3166709;MG;Serra dos Aimorés;8725;<10k;
3157336;MG;Santa Cruz de Minas;8723;<10k;
3150505;MG;Pimenta;8715;<10k;
4201208;SC;Antônio Carlos;8712;<10k;
3144508;MG;Nazareno;8710;<10k;
3140555;MG;Mata Verde;8700;<10k;
3112802;MG;Capitólio;8693;<10k;
3151008;MG;Piranguinho;8683;<10k;
2900108;BA;Abaíra;8681;<10k;
3534807;SP;Ouro Verde;8676;<10k;
2909000;BA;Cordeiros;8667;<10k;
3503406;SP;Arealva;8665;<10k;
3158904;MG;Santana do Manhuaçu;8660;<10k;
2906899;BA;Caraíbas;8659;<10k;
3171709;MG;Virgínia;8652;<10k;
4217907;SC;Tangará;8648;<10k;
2112001;MA;Tasso Fragoso;8642;<10k;
2509305;PB;Mataraca;8642;<10k;
4103503;PR;Califórnia;8641;<10k;
3140530;MG;Martins Soares;8640;<10k;
2206720;PI;Nazária;8632;<10k;
4305009;RS;Catuípe;8631;<10k;
1200328;AC;Jordão;8628;<10k;
2205557;PI;Lagoa Alegre;8610;<10k;
1504109;PA;Magalhães Barata;8598;<10k;
3102852;MG;Angelândia;8594;<10k;
2603603;PE;Camutanga;8592;<10k;
2919058;BA;Lajedo do Tabocal;8591;<10k;
2205953;PI;Marcolândia;8590;<10k;
3300951;RJ;Comendador Levy Gasparian;8590;<10k;
2204907;PI;Isaías Coelho;8582;<10k;
2923308;BA;Ouriçangas;8575;<10k;
4311155;RS;Jóia;8571;<10k;
1718303;TO;Praia Norte;8563;<10k;
2313252;CE;Tarrafas;8555;<10k;
2512804;PB;Riacho dos Cavalos;8555;<10k;
5107776;MT;Santa Terezinha;8547;<10k;
3548054;SP;Santo Antônio do Aracanguá;8541;<10k;
4314159;RS;Paverama;8541;<10k;
3152907;MG;Pratápolis;8530;<10k;
3161700;MG;São Gonçalo do Abaeté;8527;<10k;
2802700;SE;Ilha das Flores;8522;<10k;
2104073;MA;Feira Nova do Maranhão;8506;<10k;
2106672;MA;Milagres do Maranhão;8502;<10k;
4127908;PR;Tuneiras do Oeste;8502;<10k;
3545159;SP;Saltinho;8498;<10k;
2101970;MA;Boa Vista do Gurupi;8494;<10k;
1400506;RR;São João da Baliza;8492;<10k;
4123709;PR;Santa Isabel do Ivaí;8484;<10k;
2500775;PB;Aparecida;8482;<10k;
3129608;MG;Ibiaí;8478;<10k;
2921609;BA;Morpará;8476;<10k;
3103702;MG;Araponga;8467;<10k;
2703601;AL;Japaratinga;8444;<10k;
2700607;AL;Barra de São Miguel;8434;<10k;
4304713;RS;Caraá;8426;<10k;
3515202;SP;Estrela d'Oeste;8420;<10k;
5104906;MT;Jangada;8420;<10k;
1702000;TO;Araguaçu;8418;<10k;
4215653;SC;Santa Rosa do Sul;8397;<10k;
2800704;SE;Brejo Grande;8396;<10k;
3148509;MG;Pavão;8390;<10k;
4128559;PR;Vera Cruz do Oeste;8389;<10k;
5219704;GO;Santa Terezinha de Goiás;8386;<10k;
3111408;MG;Campo Florido;8383;<10k;
1700707;TO;Alvorada;8381;<10k;
3143450;MG;Montezuma;8379;<10k;
5105002;MT;Jauru;8377;<10k;
2916708;BA;Itaquara;8375;<10k;
2205854;PI;Madeiro;8372;<10k;
2201960;PI;Brasileira;8364;<10k;
3519808;SP;Icém;8363;<10k;
3521606;SP;Irapuru;8356;<10k;
2203008;PI;Cristalândia do Piauí;8350;<10k;
