COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
2925303;BA;Porto Seguro;152529;>100k;
3304144;RJ;Queimados;152311;>100k;
3507506;SP;Botucatu;149718;>100k;
4202008;SC;Balneário Camboriú;149227;>100k;
5107909;MT;Sinop;148960;>100k;
4101804;PR;Araucária;148522;>100k;
3504107;SP;Atibaia;145378;>100k;
3547304;SP;Santana de Parnaíba;145073;>100k;
4127700;PR;Toledo;144601;>100k;
4320008;RS;Sapucaia do Sul;142508;>100k;
2606002;PE;Garanhuns;141347;>100k;
3168606;MG;Teófilo Otoni;141269;>100k;
1502103;PA;Cametá;140814;>100k;
4202909;SC;Brusque;140597;>100k;
2616407;PE;Vitória de Santo Antão;140389;>100k;
3105608;MG;Barbacena;139061;>100k;
2513703;PB;Santa Rita;138093;>100k;
3156700;MG;Sabará;137877;>100k;
3170701;MG;Varginha;137608;>100k;
4101408;PR;Apucarana;137438;>100k;
2930709;BA;Simões Filho;137117;>100k;
3503307;SP;Araras;136739;>100k;
3302007;RJ;Itaguaí;136547;>100k;
3300209;RJ;Araruama;136109;>100k;
1504422;PA;Marituba;135812;>100k;
1507300;PA;São Félix do Xingu;135732;>100k;
4104204;PR;Campo Largo;135678;>100k;
4119152;PR;Pinhais;134788;>100k;
3204906;ES;São Mateus;134629;>100k;
2304202;CE;Crato;133913;>100k;
3304201;RJ;Resende;133244;>100k;
3556206;SP;Valinhos;133169;>100k;
3513504;SP;Cubatão;132521;>100k;
4316808;RS;Santa Cruz do Sul;132271;>100k;
4303103;RS;Cachoeirinha;132144;>100k;
5221403;GO;Trindade;132006;>100k;
3171204;MG;Vespasiano;131849;>100k;
2306405;CE;Itapipoca;131687;>100k;
2307700;CE;Maranguape;131677;>100k;
1100122;RO;Ji-Paraná;131026;>100k;
3118304;MG;Conselheiro Lafaiete;130584;>100k;
1501709;PA;Bragança;130122;>100k;
1501303;PA;Barcarena;129333;>100k;
3202405;ES;Guarapari;128504;>100k;
3551702;SP;Sertãozinho;128432;>100k;
3525003;SP;Jandira;127734;>100k;
4322400;RS;Uruguaiana;126766;>100k;
4101507;PR;Arapongas;126545;>100k;
